modo,cenario,repeticoes,tempo_carregamento_ms,fps_medio,fps_minimo,fps_maximo,frame_time_medio_ms,frame_time_maximo_ms,draw_calls_medio,draw_calls_maximo,geometrias_vram_final,texturas_vram_final,total_quadros,potencia_media_w,consumo_acumulado_j,consumo_acumulado_wh,potencia_inst_media_w,potencia_inst_minima_w,potencia_inst_maxima_w,energia_por_frame_j,frames_por_watt,vram_media_mb,vram_minima_mb,vram_maxima_mb,temperatura_media_c,temperatura_minima_c,temperatura_maxima_c
webgl,cenario_a,9,570.1111,143.6333,48.2511,443.3733,6.98,20.8667,477.6,1024,1333,4,8595.3333,23.6256,1417.4967,0.3937,23.62,17.46,28.4378,0.1649,6.1522,411.3,410.1111,426.2,79.1222,76.6222,80
webgl,cenario_b,9,1572.5889,143.6378,59.5722,438.67,6.9867,17.6,478.4333,1024,1333,394,8588.1111,29.5078,1770.4578,0.4918,29.51,24.4533,33.1878,0.2062,4.8922,733.7556,732.6667,749.8778,82.5111,79.8333,83.6667
webgl,cenario_c,9,3146.4333,143.57,23.5578,325.74,6.9867,42.9111,477.1111,1024,1333,394,8588.6667,30.4678,1827.9633,0.5078,30.4533,24.5489,35.3378,0.2128,4.7422,1600.1556,1594.0778,1610.4222,83.5556,80.8444,84.5556
webgl,cenario_d,9,6857,137.3878,2.7033,308.5233,7.5167,719.1444,453.2667,1213.7778,1333,394,7991.2222,33.8789,2032.7878,0.5647,33.5589,19.5433,51.7289,0.255,4.33,3809.4333,3794.8889,3819.1111,83.3556,77,86.6667
webgl,instancing_n2000,9,92.2333,8.4811,6.5411,10.3089,121.86,157.7778,11913.4444,12001,15,10,507.2222,30.6111,1836.7144,0.5102,30.6311,22.9689,33.3022,3.688,0.2756,362.0444,361.2222,396.1333,82.6889,80.5333,83.4444
webgl,instancing_n500,9,90.5778,33.6222,23.2356,44.0867,31.1333,44.8556,2952.0333,3001,15,10,1995.3333,35.75,2144.9289,0.5958,35.7867,22.7978,40.8078,1.0933,0.9356,372.8333,372.1111,393.9333,83.6778,79.3,85.2222
webgl,instancing_n5000,9,92.0111,3.4522,2.7978,4.1022,300.3911,390.1111,29848.4222,30001,15,10,207.1111,28.9911,1739.4089,0.4832,29.0067,25.6311,30.9267,8.5963,0.1178,371.5111,369.8889,423.9556,81.6444,80,82.3333
webgpu,cenario_a,9,622.4444,143.7289,37.5489,293.6489,6.9733,39.9222,5946.3333,11851.6667,1334,8,8599.1111,26.2211,1573.3133,0.437,26.2267,18.3467,28.19,0.183,5.4956,777.4889,766.6556,822.8667,81.2778,78.7444,81.8889
webgpu,cenario_b,9,1585.8667,141.5589,2.0578,273.7344,7.1711,496.4333,5792.0333,11488.1111,1334,398,8368.8889,30.94,1856.4089,0.5157,31.1189,19.2233,34.3378,0.222,4.56,1177.4667,1131.3333,1189.2111,82.9222,78.6889,84.3333
webgpu,cenario_c,9,3068.9778,140.1278,1.5033,210.5189,7.3067,672.5222,5784.3333,11343,1334,398,8225,31.1,1866.0267,0.5183,31.3489,19.9844,34.2,0.2275,4.4767,1911.8333,1781.3,1929.7111,82.7667,78.6444,83.8889
webgpu,cenario_d,9,6614.9889,114.5278,0.4144,267.5544,20.4878,2898.8,2459.5556,4716.4444,1334,398,2995.5556,25.4011,1524.2044,0.4234,30.2444,14.9833,43.8044,0.5246,3.6822,3769.7667,3753.7556,3801.1333,81.0111,77.1444,83.7778
webgpu,instancing_n2000,9,107.6444,12.6322,0.5011,15.3811,84.5156,2035.0444,4435.7444,4908.5556,16,14,725.2222,41.05,2463.0011,0.6842,42.0478,16.7078,47.3622,3.4211,0.3033,1947.3778,1220.6333,1971.1889,85.5111,78.1556,87.3333
webgpu,instancing_n500,9,105.7111,44.5267,2.7022,77.7622,25.7744,435.5667,2439.4333,3877.3333,16,14,2558.7778,45.7422,2744.5789,0.7624,46.4733,19.15,56.42,1.1118,0.9467,817.1444,706.5333,846.2889,87.5333,78.6444,88.4444
webgpu,instancing_n5000,9,112.5778,4.7867,0.1411,5.4978,241.8956,7142.1778,10126.9,10346.5556,16,14,251.1111,33.3056,1998.43,0.5551,36.27,13.4389,39.8244,8.0083,0.1322,3840.8778,2273.3667,3885.3111,83.2889,77.6,84.5444
webgl-raw,cenario_a,9,814.1889,144.0289,118.0322,284.25,6.9411,10.3444,1591,1591,,,8640.3333,21.8233,1309.3767,0.3637,21.8222,18.12,23.1311,0.1516,6.6167,459.1889,458.6667,472.7667,79.2889,77.9889,79.8889
webgl-raw,cenario_b,9,1712.1111,144.0089,35.6767,341.6322,6.95,29.3667,1591,1591,,,8635.3333,22.6444,1358.6244,0.3774,22.6467,16.5078,24.5944,0.1573,6.3722,601.3667,585.6556,612.5333,80.1333,77.8889,80.5556
webgl-raw,cenario_c,9,3140.4111,143.9611,9.1911,245.3433,6.9633,112.6778,1591,1591,,,8617.1111,22.8856,1373.0944,0.3814,22.8933,17.4722,25.5467,0.1594,6.2967,1035.4778,1026.4,1041.0667,80.3556,78.3889,80.6667
webgl-raw,cenario_d,9,6658.1,143.9267,6.0767,194.5822,6.9889,216.9333,1591,1591,,,8583,23.3133,1398.8544,0.3886,23.3333,17.5733,24.81,0.163,6.1789,2748.4667,2581.8444,2750.3333,81.4,79.2667,82.1111
webgl-raw,instancing_n2000,9,110.4,26.98,5.71,144.72,38.1544,175.1444,6000,6000,,,1591.6667,43.0189,2581.0922,0.717,43.2978,20.3944,55.4689,1.618,0.63,362.5444,358.8222,375.9667,86.7556,80.2,87.3333
webgl-raw,instancing_n500,9,109.1556,111.8722,23.3278,154.5778,10.1467,43.2222,1500,1500,,,6100.3333,43.5478,2612.8267,0.7258,43.9756,18.4622,57.4122,0.4271,2.5789,351.5889,351,373.6222,86.9778,78.6222,87.6667
