timestamp,watts,vram_mb
1786139407,14.56,631
1786139408,14.58,697
1786139409,14.74,697
1786139410,19.42,857
1786139411,19.44,852
1786139412,20.03,854
1786139413,19.30,859
1786139414,21.44,834
1786139415,22.39,827
1786139416,21.96,833
1786139417,22.18,833
1786139418,21.90,831
1786139419,22.51,831
1786139420,20.78,824
1786139421,21.80,823
1786139422,20.25,823
1786139423,21.60,823
1786139424,20.80,823
1786139425,21.43,823
1786139426,21.47,823
1786139427,21.49,823
1786139428,21.32,823
1786139429,21.10,823
1786139430,21.92,823
1786139431,21.45,827
1786139432,21.91,827
1786139433,21.56,827
1786139434,23.34,827
1786139435,21.32,823
1786139436,19.66,823
1786139437,19.41,823
1786139438,20.30,823
1786139440,22.03,823
1786139441,21.31,817
1786139441,21.60,817
1786139442,21.68,823
1786139443,21.72,823
1786139445,21.23,823
1786139446,21.57,823
1786139447,21.19,823
1786139448,21.33,823
1786139449,22.87,817
1786139450,22.28,819
1786139451,19.38,812
1786139452,22.76,823
1786139453,22.86,823
1786139454,22.74,829
1786139455,22.20,843
1786139456,20.97,843
1786139457,21.39,839
1786139458,22.93,836
1786139459,23.37,837
1786139460,22.41,836
1786139461,21.73,802
1786139462,20.86,803
1786139463,21.20,803
1786139464,22.37,802
1786139465,21.91,820
1786139466,21.79,815
1786139467,21.62,814
1786139468,21.84,814
1786139469,21.90,814
1786139470,21.76,800
1786139471,22.09,795
1786139472,21.99,795
1786139473,21.84,795
1786139474,22.22,802
1786139475,21.82,802
1786139476,20.97,806
1786139477,21.17,806
1786139478,21.23,806
1786139479,20.91,802
1786139480,21.27,802
1786139481,21.44,802
1786139482,21.38,802
1786139483,22.56,802
1786139484,21.32,802
1786139485,21.32,802
1786139486,22.67,806
1786139487,21.65,799
1786139488,21.86,799
1786139489,21.77,799
1786139490,21.75,795
1786139491,21.56,795
1786139492,21.71,795
1786139493,21.57,795
1786139494,22.50,795
1786139495,21.86,795
1786139496,18.91,795
1786139497,22.26,795
1786139498,22.30,795
1786139499,22.49,795
1786139500,22.63,757
