timestamp,watts,vram_mb,temp_c
1787346937,12.49,355,59
1787346938,26.53,370,62
1787346939,33.56,390,63
1787346940,48.24,393,67
1787346941,71.96,401,72
1787346942,73.71,377,74
1787346943,73.88,377,75
1787346944,74.12,381,76
1787346945,73.26,381,76
1787346946,74.55,380,77
1787346947,74.57,380,78
1787346948,74.56,380,79
1787346949,74.45,380,79
1787346950,74.83,380,80
1787346951,74.85,381,80
1787346952,74.81,388,81
1787346953,68.45,382,80
1787346954,69.25,376,81
1787346955,67.48,380,81
1787346956,71.72,380,82
1787346957,74.98,380,83
1787346958,74.81,380,84
1787346959,74.91,380,84
1787346960,74.86,380,84
1787346961,75.29,380,85
1787346962,74.90,380,85
1787346963,74.82,380,85
1787346964,74.89,380,86
1787346965,73.66,380,86
1787346966,73.34,381,86
1787346967,71.72,375,86
1787346968,69.57,380,86
1787346969,72.65,380,87
1787346970,69.32,380,87
1787346971,69.01,382,87
1787346972,68.70,382,87
1787346973,68.56,381,87
1787346974,63.44,381,86
1787346975,63.28,387,86
1787346976,63.31,387,86
1787346977,63.23,381,87
1787346978,63.47,381,87
1787346979,63.43,381,87
1787346980,60.25,382,86
1787346981,58.58,382,86
1787346982,58.82,382,86
1787346983,58.67,382,86
1787346984,58.73,382,87
1787346985,58.55,388,87
1787346986,58.65,388,87
1787346987,58.74,388,87
1787346988,55.96,382,86
1787346989,54.26,388,86
1787346990,54.55,382,86
1787346991,54.49,388,86
1787346992,54.56,382,87
1787346993,54.50,382,87
1787346994,54.58,382,87
1787346995,54.62,388,87
1787346996,54.65,382,87
1787346997,54.67,386,87
1787346998,14.83,401,80
1787346999,14.52,401,79
1787347000,13.42,400,78
1787347001,13.15,399,78
1787347002,10.80,398,76
1787347003,9.68,394,76
1787347004,9.46,394,75
1787347005,9.35,392,75
1787347006,12.67,403,77
1787347007,27.92,414,78
1787347008,35.20,407,80
1787347009,51.04,403,86
1787347010,70.19,396,87
1787347011,64.14,402,87
1787347012,62.10,396,87
1787347013,58.42,396,87
1787347014,58.42,396,87
1787347015,56.05,402,86
1787347016,53.05,396,86
1787347017,52.94,396,86
1787347018,52.87,396,86
1787347019,52.77,396,86
1787347020,52.74,396,87
1787347021,52.92,396,86
1787347022,52.88,396,87
1787347023,52.99,402,87
1787347024,52.99,402,87
1787347025,52.84,396,87
1787347026,50.09,396,86
1787347027,47.91,396,86
1787347028,47.97,396,86
1787347029,47.80,396,86
1787347030,47.92,396,86
1787347031,47.94,396,86
1787347032,47.93,396,86
1787347033,47.84,396,86
1787347034,47.94,396,86
1787347035,47.92,396,87
1787347036,47.99,396,87
1787347037,48.07,396,87
1787347038,48.11,396,87
1787347039,48.07,396,87
1787347040,47.84,396,87
1787347041,48.00,396,87
1787347042,47.63,396,87
1787347043,44.00,396,87
1787347044,46.09,396,87
1787347045,46.10,396,87
1787347046,46.12,396,87
1787347047,46.07,396,87
1787347048,46.07,396,87
1787347049,46.03,396,87
1787347050,46.02,396,87
1787347051,44.75,396,86
1787347053,41.19,396,86
1787347054,44.14,396,87
1787347055,43.71,396,86
1787347056,41.77,402,86
1787347057,41.67,403,86
1787347058,41.75,402,86
1787347059,41.84,396,86
1787347060,41.78,396,86
1787347061,41.81,396,86
1787347062,41.92,396,86
1787347063,41.85,402,86
1787347064,41.81,396,86
1787347065,41.86,396,86
1787347066,41.81,396,86
1787347067,39.03,409,84
1787347068,16.13,409,82
1787347069,14.29,410,81
1787347070,13.47,408,80
1787347071,12.70,408,79
1787347072,9.83,407,78
1787347073,9.70,407,78
1787347074,9.53,406,78
1787347075,9.83,446,77
1787347076,14.37,483,79
1787347077,14.40,484,79
1787347078,12.31,485,78
1787347079,11.51,474,77
1787347080,10.45,473,77
1787347081,10.54,468,77
1787347082,10.15,827,77
1787347083,15.65,2755,78
1787347084,16.85,3794,78
1787347085,14.46,3807,78
1787347086,16.40,3803,78
1787347087,16.57,3803,79
1787347088,18.23,3803,79
1787347089,21.09,3803,80
1787347090,27.62,3803,81
1787347091,38.80,3803,83
1787347092,41.66,3803,84
1787347093,42.15,3803,85
1787347094,42.35,3803,85
1787347095,42.59,3803,85
1787347096,42.58,3803,85
1787347097,42.77,3803,85
1787347098,42.42,3805,85
1787347099,42.07,3805,85
1787347100,42.17,3802,85
1787347101,42.24,3802,85
1787347102,42.42,3802,86
1787347103,42.32,3802,86
1787347104,42.26,3802,86
1787347105,42.46,3802,86
1787347106,42.72,3802,86
1787347107,42.78,3802,86
1787347108,42.75,3802,86
1787347109,42.47,3802,86
1787347110,42.88,3802,86
1787347111,41.93,3802,86
1787347112,42.38,3802,86
1787347113,40.13,3800,85
1787347114,36.26,3800,85
1787347115,37.06,3800,85
1787347116,39.24,3800,85
1787347117,41.12,3800,86
1787347118,41.62,3800,86
1787347119,42.59,3800,86
1787347120,42.97,3800,86
1787347121,43.18,3800,86
1787347122,43.31,3800,86
1787347123,43.07,3800,87
1787347124,43.41,3800,87
1787347125,43.35,3800,87
1787347126,43.25,3800,87
1787347127,42.92,3800,87
1787347128,42.41,3781,86
1787347129,42.98,3781,87
1787347130,47.33,3749,88
1787347131,39.30,3755,85
1787347132,31.69,3763,84
1787347133,32.08,3763,84
1787347134,32.16,3763,84
1787347135,32.88,3763,84
1787347136,32.83,3763,84
1787347137,32.42,3763,84
1787347138,30.28,3763,83
1787347139,29.73,3763,83
1787347140,29.43,3763,83
1787347141,29.29,3767,83
1787347142,28.98,3767,83
1787347143,28.09,3749,83
1787347144,14.66,228,81
1787347145,14.38,218,80
1787347146,12.69,218,79
1787347147,9.78,204,78
1787347148,9.76,203,78
1787347149,9.48,203,78
1787347150,9.43,203,77
1787347151,9.34,194,77
1787347152,9.79,314,77
1787347153,9.98,325,77
1787347154,9.89,318,77
1787347155,11.20,908,77
1787347156,23.69,1006,79
1787347157,24.95,1004,80
1787347158,23.61,1004,80
1787347159,23.58,1004,80
1787347160,23.67,1004,80
1787347161,23.40,1004,80
1787347162,24.04,1004,80
1787347163,23.40,1004,80
1787347164,23.06,1004,80
1787347165,22.79,1004,80
1787347166,23.06,1004,80
1787347167,22.68,1004,80
1787347168,22.60,1004,81
1787347169,22.59,1004,80
1787347170,22.51,1004,81
1787347171,22.68,1004,81
1787347172,22.63,1004,81
1787347173,22.37,1004,81
1787347174,22.52,1004,81
1787347175,22.26,1004,81
1787347176,22.94,1004,81
1787347177,23.50,1004,81
1787347178,22.78,1004,81
1787347179,23.77,1004,81
1787347180,22.81,1004,81
1787347181,23.07,1004,81
1787347182,22.60,1004,81
1787347183,21.88,1004,81
1787347184,22.97,1004,81
1787347185,23.09,1004,81
1787347186,23.25,1004,81
1787347187,23.07,1004,81
1787347188,22.65,1004,81
1787347189,22.38,1004,81
1787347190,22.22,1004,81
1787347191,22.25,1004,81
1787347192,22.21,1004,81
1787347193,22.14,1004,81
1787347194,24.81,1004,81
1787347195,22.04,1004,81
1787347196,22.04,1004,81
1787347197,21.92,1004,81
1787347198,22.13,1004,81
1787347199,22.17,1004,81
1787347200,22.34,1004,81
1787347201,22.46,1004,81
1787347202,22.52,1004,81
1787347203,22.77,1004,81
1787347204,22.73,1004,82
1787347205,22.80,1004,81
1787347206,22.37,1004,81
1787347207,21.71,1004,81
1787347208,22.11,1004,81
1787347209,21.81,1004,81
1787347210,21.23,1004,81
1787347211,21.75,1004,81
1787347212,21.81,1004,81
1787347213,21.94,1004,81
1787347214,21.86,1004,81
1787347215,21.69,1004,81
1787347216,14.67,1015,81
1787347217,14.48,1015,80
1787347218,14.05,365,80
1787347219,11.34,364,79
1787347220,9.78,363,78
1787347221,9.59,363,78
1787347222,9.44,362,77
